1,2,3,4
17.2400,17.2400,359.6900,358.7600
18.1900,18.1900,358.7600,355.6700
19.2200,19.2200,355.6700,352.2000
20.1100,20.1100,352.2000,353.7900
20.2600,20.2600,353.8300,349.6200
22.2000,22.2000,349.6200,347.3100
22.4400,22.4400,347.3100,348.5300
20.0500,20.0500,348.5300,339.9300
24.6400,24.6400,339.9300,337.0000
26.3400,26.3400,337.0000,340.7500
24.1800,24.1800,340.7700,337.4000
24.1600,24.1600,337.4000,338.1900
24.3400,24.3400,338.1900,339.1500
22.5000,22.5000,339.1400,330.3800
26.7000,26.7000,330.3800,331.6100
24.7200,24.7200,331.6100,330.2600
25.3900,25.3900,330.2600,326.0800
25.6300,25.6300,326.0900,325.8000
26.2800,26.2800,325.8000,325.2000
26.4400,26.4400,325.2000,322.9800
27.2500,27.2500,322.9800,329.0800
25.3600,25.3600,329.0800,328.7900
24.8700,24.8700,328.7900,330.9200
24.3200,24.3200,330.9200,331.8500
24.5400,24.5400,331.8500,329.6600
24.6900,24.6900,329.6600,333.7500
24.2900,24.2900,333.7500,332.9600
23.7700,23.7700,333.0200,333.6200
23.6900,23.6900,333.6200,330.0800
24.3800,24.3800,330.0800,331.0200
23.7600,23.7600,331.0200,332.0100
22.0500,22.0500,332.0100,334.8900
19.7100,19.7100,334.8900,332.7200
20.7800,20.7800,332.7200,327.9900
22.7800,22.7800,327.9100,327.6700
23.8900,23.8900,327.6700,325.7000
22.5400,22.5400,325.7000,324.1500
23.6900,23.6900,324.1600,328.6700
23.5600,23.5600,328.6800,330.2600
22.6900,22.6900,330.2600,331.8900
21.9900,21.9900,331.8900,332.7400
21.9000,21.9000,332.7400,335.5400
21.3400,21.3400,335.5400,333.7400
22.0300,22.0300,333.7400,337.9300
20.5500,20.5500,337.9300,336.9500
19.1000,19.1000,336.9500,340.2700
19.7400,19.7400,340.1200,337.9300
20.3000,20.3000,337.9300,338.6700
20.0700,20.0700,338.6700,336.0000
21.0500,21.0500,336.0000,336.8700
19.6500,19.6500,336.8700,338.0700
18.8100,18.8100,338.0700,341.9100
17.6200,17.6200,341.9100,343.5300
18.2900,18.2900,343.5300,341.5700
19.0600,19.0600,341.5700,339.7400
20.1000,20.1000,339.7400,335.6900
22.7400,22.7400,335.6900,337.2200
20.4600,20.4600,337.2200,337.6300
19.5900,19.5900,337.6300,341.5000
21.0100,21.0100,341.5000,342.0000
19.7700,19.7700,342.0000,340.7900
18.4600,18.4600,340.7900,339.9400
19.7300,19.7300,339.9400,338.7000
22.8400,22.8400,338.7000,343.6400
20.4400,20.4400,343.6400,341.0900
22.0300,22.0300,341.0900,340.7300
21.2100,21.2100,340.7300,340.0800
21.7600,21.7600,340.0800,341.3700
22.3000,22.3000,341.3700,342.0700
21.6900,21.6900,342.0700,341.9200
17.7300,17.7300,341.9200,344.3400
19.8000,19.8000,344.3400,344.7400
20.7500,20.7500,344.7400,344.6800
20.3800,20.3800,344.6800,340.7200
22.6700,22.6700,340.7200,338.0900
22.4600,22.4600,338.0900,335.1200
23.3300,23.3300,335.1200,331.0500
24.1600,24.1600,331.0500,330.3600
21.7000,21.7000,330.3600,332.0300
20.8600,20.8600,332.0300,332.9200
20.2500,20.2500,332.9200,329.1100
22.1900,22.1900,329.1100,330.8000
19.5200,19.5200,330.8000,332.2500
18.4300,18.4300,332.2500,334.4800
19.3200,19.3200,334.4800,335.5700
17.8100,17.8100,335.5800,338.3900
17.2800,17.2800,338.3900,340.5300
17.6500,17.6500,340.5300,342.0100
18.4900,18.4900,342.0100,342.8600
18.6400,18.6400,342.8700,343.8200
18.5900,18.5900,343.8200,352.0000
19.8100,19.8100,352.0000,354.7500
20.1400,20.1400,354.7500,354.2800
19.4900,19.4900,354.2700,354.0000
17.7100,17.7100,354.0000,354.4700
17.2700,17.2700,354.4700,354.6400
17.2000,17.2000,354.6400,358.0000
16.7200,16.7200,358.0000,358.4300
17.8400,17.8400,358.4300,359.2900
17.1800,17.1800,359.2900,358.4100
17.7000,17.7000,358.4100,354.5800
17.3200,17.3200,354.5800,360.6500
18.7500,18.7500,360.6500,360.8600
17.4400,17.4400,360.8600,361.2300
17.3700,17.3700,361.2600,363.1600
17.0900,17.0900,363.1600,367.4000
18.3900,18.3900,367.4000,366.6400
18.9700,18.9700,366.6400,364.9600
17.4200,17.4200,365.9200,363.1500
16.8800,16.8800,363.1500,358.7100
17.5800,17.5800,358.7100,361.6300
16.3400,16.3400,361.6300,366.2500
16.6000,16.6000,366.2500,364.9000
17.3800,17.3800,364.9000,362.9000
17.4000,17.4000,362.8900,362.9100
15.9000,15.9000,362.9100,356.8800
17.7100,17.7100,356.8800,358.4700
15.2300,15.2300,358.4700,359.1000
15.2700,15.2700,359.1000,360.4700
